run_id,scenario,loss_percent,truth_count,detector_alerts,zeek_alerts,suricata_alerts,detector_recall_pct,zeek_recall_pct,suricata_recall_pct
20260428T100306Z,reliability-dhcp-spoof,50,16,8,8,8,50.000,50.000,50.000
20260428T025126Z,reliability-dhcp-spoof,60,16,5,5,5,31.250,31.250,31.250
20260428T025331Z,reliability-dhcp-spoof,60,16,6,6,6,37.500,37.500,37.500
20260428T025539Z,reliability-dhcp-spoof,60,16,7,7,7,43.750,43.750,43.750
20260428T080744Z,reliability-dhcp-spoof,60,16,6,6,6,37.500,37.500,37.500
20260428T080935Z,reliability-dhcp-spoof,60,16,3,3,3,18.750,18.750,18.750
20260428T081127Z,reliability-dhcp-spoof,60,16,6,6,6,37.500,37.500,37.500
20260428T081319Z,reliability-dhcp-spoof,60,16,7,7,7,43.750,43.750,43.750
20260428T081511Z,reliability-dhcp-spoof,60,16,7,7,7,43.750,43.750,43.750
20260428T081701Z,reliability-dhcp-spoof,60,16,8,8,8,50.000,50.000,50.000
20260428T081852Z,reliability-dhcp-spoof,60,16,6,6,6,37.500,37.500,37.500
20260428T082042Z,reliability-dhcp-spoof,60,16,8,8,8,50.000,50.000,50.000
20260428T082234Z,reliability-dhcp-spoof,60,16,4,4,4,25.000,25.000,25.000
20260428T100456Z,reliability-dhcp-spoof,60,16,7,7,7,43.750,43.750,43.750
20260428T100647Z,reliability-dhcp-spoof,60,16,5,5,5,31.250,31.250,31.250
20260428T100837Z,reliability-dhcp-spoof,60,16,8,8,8,50.000,50.000,50.000
20260428T082427Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T082620Z,reliability-dhcp-spoof,70,16,5,5,5,31.250,31.250,31.250
20260428T082812Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T083003Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T083154Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T083345Z,reliability-dhcp-spoof,70,16,6,6,6,37.500,37.500,37.500
20260428T083535Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T083726Z,reliability-dhcp-spoof,70,16,2,2,2,12.500,12.500,12.500
20260428T083917Z,reliability-dhcp-spoof,70,16,6,6,6,37.500,37.500,37.500
20260428T101027Z,reliability-dhcp-spoof,70,16,2,2,2,12.500,12.500,12.500
20260428T101218Z,reliability-dhcp-spoof,70,16,4,4,4,25.000,25.000,25.000
20260428T101408Z,reliability-dhcp-spoof,70,16,9,9,9,56.250,56.250,56.250
20260428T104043Z,reliability-dhcp-spoof,70,16,4,4,4,25.000,25.000,25.000
20260428T104233Z,reliability-dhcp-spoof,70,16,5,5,5,31.250,31.250,31.250
20260428T104427Z,reliability-dhcp-spoof,70,16,7,7,7,43.750,43.750,43.750
20260428T084107Z,reliability-dhcp-spoof,80,16,4,4,4,25.000,25.000,25.000
20260428T084259Z,reliability-dhcp-spoof,80,16,3,3,3,18.750,18.750,18.750
20260428T084449Z,reliability-dhcp-spoof,80,16,3,3,3,18.750,18.750,18.750
20260428T084640Z,reliability-dhcp-spoof,80,16,4,4,4,25.000,25.000,25.000
20260428T084833Z,reliability-dhcp-spoof,80,16,5,5,5,31.250,31.250,31.250
20260428T085015Z,reliability-dhcp-spoof,80,16,2,2,2,12.500,12.500,12.500
20260428T085207Z,reliability-dhcp-spoof,80,16,5,5,5,31.250,31.250,31.250
20260428T085357Z,reliability-dhcp-spoof,80,16,5,5,5,31.250,31.250,31.250
20260428T085549Z,reliability-dhcp-spoof,80,16,2,2,2,12.500,12.500,12.500
20260428T101600Z,reliability-dhcp-spoof,80,16,4,4,4,25.000,25.000,25.000
20260428T101749Z,reliability-dhcp-spoof,80,16,4,4,4,25.000,25.000,25.000
20260428T101940Z,reliability-dhcp-spoof,80,16,1,1,1,6.250,6.250,6.250
20260428T104621Z,reliability-dhcp-spoof,80,16,2,2,2,12.500,12.500,12.500
20260428T104813Z,reliability-dhcp-spoof,80,16,5,5,5,31.250,31.250,31.250
20260428T105005Z,reliability-dhcp-spoof,80,16,5,5,5,31.250,31.250,31.250
20260428T085740Z,reliability-dhcp-spoof,90,16,2,2,2,12.500,12.500,12.500
20260428T085930Z,reliability-dhcp-spoof,90,16,2,2,2,12.500,12.500,12.500
20260428T090122Z,reliability-dhcp-spoof,90,16,1,1,1,6.250,6.250,6.250
20260428T090315Z,reliability-dhcp-spoof,90,16,2,2,2,12.500,12.500,12.500
20260428T090507Z,reliability-dhcp-spoof,90,16,2,2,2,12.500,12.500,12.500
20260428T090658Z,reliability-dhcp-spoof,90,16,3,3,3,18.750,18.750,18.750
